Annual Fees,Originator,Years in Business,1/Years,Credit score,Property Ownership,SIC Code,Industry Category,Industry Subcategory,Num Credit Inquiries,Active Credit Lines,Active Credit Available,Active Credit Balance,Utilitization Percent,Past Due Total Balance,Avg Monthly Payment,Active #30Days,Active #60Days,Active #90Days,Num Charged Off,Credit Bal of Charge Offs,Past Due of Charge Offs,Percent Active Current,Active Percent Revolving,Ever Bankrupt?,Num of Bankruptcies,Time Since Bankruptcy,Num of Child Supports,Num of Closed Judgments,Num of Closed Tax Liens,Amt Past Judgments,Population of Zip Code,White Population,Black Population,Hispanic Population,Asian Population,Hawaiian Population,Indian Population,Other Population,Male Population,Female Population,Households in Zip Code,Persons Per Household,Average House Value,Income Per Household,Median Age,Median Age Male,Median Age Female,State,TimeZone,Metropolitan Statistical Area,Region,Division,Employment,First Quarter Payroll (000),Annual Payroll (000),Avg Annual Salary
"$2,120 ",B,11,0.083333333,684,Lease,59440000,Retail - Others,Jewelry,2,12,"$78,400 ","$104,742 ",57.19,$0 ,"$2,677 ",0,0,0,0,,,1,0.60977902,no,0,,0,0,0,0,27268,20147,4785,2236,528,14,79,1347,12804,14464,13443,2.17,"$111,800 ","$41,888 ",35.9,33.6,38.2,NC,5,"Greensboro--Winston-Salem--High Point, NC MSA",South,South Atlantic,44287,"$380,096 ","$1,575,418 ","$35,573 "
"$2,080 ",A,5,0.166666667,608,Own,75380000,Services - Auto Repair & Maintenance,Automotive general repair shops,5,5,"$31,800 ","$237,908 ",88.21,"$1,620 ","$1,585 ",0,0,1,0,,,0.4,0.00208809,yes,1,26.3345871,0,0,0,0,51681,29001,10590,17288,1593,257,568,7183,26427,25254,18698,3.1,"$98,900 ","$31,370 ",26.4,26.2,26.7,NV,8,"Las Vegas, NV-AZ MSA",West,Mountain,12440,"$84,482 ","$378,820 ","$30,452 "
"$1,920 ",B,16,0.058823529,483,Lease,59991100,Retail - Others,Pets & pet supplies,8,4,$250 ,"$37,100 ",99.33,"$1,665 ",$642 ,0,0,0,0,,,0.5,0.00987787,no,0,,0,0,0,0,51542,13852,3427,5502,30044,96,143,2025,25075,26467,15604,3.34,"$280,500 ","$72,906 ",39.3,37.9,40.4,CA,8,"Los Angeles-Riverside-Orange County, CA",West,Pacific,31822,"$248,850 ","$1,007,685 ","$31,666 "
"$4,680 ",C,2,0.333333333,607,Lease,79910103,Services - Amusement & Recreation,Spas,2,11,$250 ,"$147,438 ",99.83,"$7,625 ","$1,696 ",18,9,2,0,,,0.27272727,0.00144924,yes,1,92.3574794,0,0,0,0,15595,13711,1351,239,255,0,49,108,7602,7993,6537,2.48,"$98,300 ","$44,573 ",37.1,36,38.4,NC,5,"Charlotte-Gastonia-Rock Hill, NC-SC MSA",South,South Atlantic,5133,"$45,519 ","$195,282 ","$38,044 "
"$5,480 ",C,25,0.038461539,459,Own,75320000,Services - Auto Repair & Maintenance,Top & body repair & paint shops,4,16,"$39,411 ","$47,504 ",54.66,$989 ,"$1,569 ",74,25,30,0,,,0.875,0.65172455,no,0,,0,0,0,0,36255,31796,787,2196,1364,13,72,1186,17869,18386,14903,2.47,"$190,600 ","$56,879 ",36.1,35.3,37.1,MA,5,"Boston-Worcester-Lawrence, MA-NH-ME-CT CMSA",Northeast,New England,29342,"$420,927 ","$1,645,471 ","$56,079 "
"$2,220 ",B,37,0.02631579,543,Lease,17110000,Services - Home Improvement,"Plumbing, heating, air-conditioning",0,1,$0 ,$201 ,100,$201 ,$10 ,0,0,0,2,201,201,0,0,no,0,,0,0,0,0,39157,30151,447,2438,7218,11,49,684,18689,20468,13581,2.93,"$270,000 ","$70,959 ",41.8,40.4,43,NY,5,New York-Northern New Jersey-Long Island,Northeast,Middle Atlantic,21807,"$214,228 ","$912,362 ","$41,838 "
"$2,410 ",B,14,0.066666667,683,Lease,50990700,Wholesale,"Antiques, souvenirs & novelties",1,8,"$108,300 ","$116,935 ",51.92,$0 ,$388 ,0,0,0,0,,,1,0.05036333,no,0,,0,0,0,0,3335,3271,11,37,9,6,7,5,1598,1737,1787,2.41,"$101,000 ","$34,245 ",41.6,41.9,41.4,ME,5,,Northeast,New England,997,"$6,341 ","$28,143 ","$28,228 "
"$4,020 ",B,11,0.083333333,526,Lease,87420000,Services - For Businesses,Management consulting services,4,16,"$26,219 ","$173,050 ",86.84,"$3,908 ","$2,156 ",29,8,6,0,,,0.625,0.1621636,no,0,,0,0,0,0,4255,2386,317,987,938,3,28,353,2360,1895,2299,1.9,"$294,300 ","$48,705 ",33.7,34.6,32.4,NY,5,New York-Northern New Jersey-Long Island,Northeast,Middle Atlantic,96692,"$1,258,916 ","$5,271,561 ","$54,519 "
"$2,760 ",B,7,0.125,545,Lease,80710100,Services - Health,Testing labs,3,6,$500 ,"$481,788 ",99.9,"$1,283 ","$4,141 ",3,2,0,0,,,0.5,0.0001183,yes,1,52.8752718,0,0,0,0,25292,20650,1821,7358,412,8,96,1523,13204,12088,9505,2.61,"$95,100 ","$42,497 ",35.5,34.1,37,FL,5,"West Palm Beach-Boca Raton, FL MSA",South,South Atlantic,8480,"$66,022 ","$264,918 ","$31,240 "
"$2,510 ",B,4,0.2,494,Lease,58129903,Services - Eating and Drinking,Caterers,3,15,"$9,125 ","$59,751 ",86.75,$780 ,$863 ,15,10,6,0,,,0.66666667,0.22538872,no,0,,0,0,0,0,66202,45776,2444,22876,1717,96,1028,12897,33313,32889,23318,2.99,"$122,500 ","$49,975 ",29.4,28.8,30,AZ,7,"Phoenix-Mesa, AZ MSA",West,Mountain,10312,"$74,641 ","$324,423 ","$31,461 "
"$3,340 ",B,3,0.25,654,Mortgage,58120100,Services - Eating and Drinking,Ethnic food restaurants,7,4,"$18,600 ","$10,011 ",34.99,$0 ,$235 ,0,0,0,0,,,1,1,no,0,,0,0,0,0,30629,9679,349,12221,13701,35,261,5405,14562,16067,10002,3.1,"$207,400 ","$41,303 ",35.5,33.6,37.2,CA,8,"Los Angeles-Riverside-Orange County, CA",West,Pacific,9750,"$74,822 ","$282,826 ","$29,008 "
"$2,530 ",B,12,0.076923077,500,Lease,58120100,Services - Eating and Drinking,Ethnic food restaurants,4,6,"$13,500 ","$5,108 ",27.45,"$1,945 ",$66 ,3,1,3,0,,,0.33333333,0.98233681,no,0,,0,0,0,0,17839,15554,1819,297,102,8,84,124,8784,9055,7239,2.74,"$99,400 ","$43,321 ",34.4,33.7,35.1,GA,5,"Atlanta, GA MSA",South,South Atlantic,5048,"$34,445 ","$141,767 ","$28,084 "
"$2,500 ",A,7,0.125,664,Lease,75380000,Services - Auto Repair & Maintenance,Automotive general repair shops,6,8,"$34,600 ","$27,341 ",44.14,$0 ,$952 ,6,0,0,0,,,1,0.51130106,no,0,,0,0,0,0,10100,9866,13,78,72,4,34,9,4969,5131,5965,2.44,"$84,600 ","$34,601 ",40.2,39,41.3,MI,5,,Midwest,East North Central,4446,"$23,558 ","$106,903 ","$24,045 "
"$2,540 ",A,5,0.166666667,661,Lease,58120600,Services - Eating and Drinking,Pizza restaurants,3,4,$700 ,"$4,463 ",86.44,"$4,463 ",$202 ,0,0,0,0,,,0.5,0.12041782,no,0,,0,0,0,0,5503,5010,62,419,53,0,53,225,2732,2771,2011,2.94,"$111,700 ","$50,929 ",33.8,32.7,35,TX,6,"Dallas-Fort Worth, TX CMSA",South,West South Central,2531,"$15,405 ","$70,187 ","$27,731 "
"$2,390 ",B,7,0.125,582,Lease,75320000,Services - Auto Repair & Maintenance,Top & body repair & paint shops,7,8,"$246,900 ","$598,089 ",70.78,$104 ,"$7,802 ",3,0,0,0,,,0.75,0.06667953,no,0,,0,0,0,0,18925,15619,409,2535,1477,1,21,841,9042,9883,7242,2.66,"$184,100 ","$52,319 ",38.5,36.7,40.3,NJ,5,New York-Northern New Jersey-Long Island,Northeast,Middle Atlantic,8184,"$90,717 ","$378,721 ","$46,276 "
"$3,090 ",B,3,0.25,545,Mortgage,76991300,Services - Miscellaneous Repair,Recreational vehicle repair,3,5,"$12,500 ","$68,303 ",84.53,"$1,622 ","$1,131 ",19,2,6,0,,,0.6,0.02644825,no,0,,0,0,1,0,13550,5350,8006,186,46,0,28,43,6231,7319,5630,2.7,"$59,700 ","$25,861 ",34.6,31.6,36.7,SC,5,"Florence, SC MSA",South,South Atlantic,4313,"$23,868 ","$97,172 ","$22,530 "
"$1,960 ",C,5,0.166666667,589,Lease,57340000,"Retail - Furniture, Furnishings & Appliances",Computers & software,37,8,$100 ,$503 ,83.42,$503 ,$55 ,1,1,0,0,,,0.25,0.40127389,yes,1,82.0932021,0,1,0,3732,0,0,0,0,0,0,0,0,0,0,0,0,$0 ,$0 ,0,0,0,CA,8,"San Francisco-Oakland-San Jose, CA CMSA",West,Pacific,1361,"$7,302 ","$33,243 ","$24,425 "
"$3,080 ",B,10,0.090909091,520,Mortgage,58129902,Services - Eating and Drinking,Cafe,3,5,"$2,100 ","$138,468 ",98.51,$580 ,"$1,437 ",18,6,2,0,,,0.4,0.01956923,no,0,,0,1,6,1547,1842,1779,1,18,14,0,25,0,958,884,1069,2.73,"$87,300 ","$37,197 ",36.5,36.3,36.7,MI,5,,Midwest,East North Central,177,"$1,048 ","$4,439 ","$25,079 "
"$3,840 ",C,6,0.142857143,753,Lease,75320000,Services - Auto Repair & Maintenance,Top & body repair & paint shops,2,10,"$23,200 ","$448,822 ",95.08,$0 ,"$3,600 ",1,0,0,0,,,1,0.01512925,no,0,,0,0,0,0,33557,22328,3386,2808,5799,8,82,978,15948,17609,12548,2.67,"$255,700 ","$74,655 ",37.5,36.2,38.6,MD,5,"Washington-Baltimore, DC-MD-VA-WV CMSA",South,South Atlantic,54229,"$737,897 ","$2,993,802 ","$55,207 "
"$3,900 ",C,6,0.142857143,539,Lease,52310000,Retail - Hardware & Home Improvement,"Paint, glass & wallpaper",1,16,"$22,928 ","$23,017 ",50.1,$0 ,$864 ,24,9,4,0,,,1,1,no,0,,0,0,0,0,38652,27266,10450,391,441,7,86,114,18042,20610,17137,2.4,"$106,800 ","$39,809 ",36.7,35.1,38.3,SC,5,"Florence, SC MSA",South,South Atlantic,27493,"$171,602 ","$709,305 ","$25,799 "
"$3,170 ",B,5,0.166666667,573,Lease,59410000,Retail - Others,Sporting goods,9,6,"$31,200 ","$190,745 ",85.94,$101 ,"$1,789 ",0,0,0,0,,,0.83333333,0.1369333,no,0,,0,0,0,0,33523,29165,1657,2477,1247,5,73,736,16663,16860,12730,2.7,"$159,600 ","$59,371 ",36.6,35.9,37.2,NY,5,New York-Northern New Jersey-Long Island,Northeast,Middle Atlantic,7081,"$45,689 ","$200,734 ","$28,348 "
"$3,790 ",C,5,0.166666667,720,Lease,57120000,"Retail - Furniture, Furnishings & Appliances",Furniture,0,8,"$5,200 ","$579,292 ",99.11,$0 ,"$5,404 ",0,0,0,0,,,1,0.00334808,no,0,,0,0,0,0,17911,17119,212,1182,196,3,15,204,8489,9422,9737,2.3,"$214,600 ","$52,591 ",44.5,43.7,45.2,FL,5,"Naples, FL MSA",South,South Atlantic,12016,"$89,827 ","$371,349 ","$30,905 "
"$2,860 ",B,7,0.125,611,Lease,76290000,Services - Miscellaneous Repair,Electrical repair,3,14,"$33,200 ","$635,296 ",95.03,$0 ,"$5,701 ",0,0,0,0,,,1,0.05760619,no,0,,0,0,0,0,25561,3365,17244,4065,1431,377,100,2075,11959,13602,7744,3.27,"$197,600 ","$59,390 ",36.4,34.9,37.6,CA,8,"Los Angeles-Riverside-Orange County, CA",West,Pacific,13070,"$107,472 ","$439,156 ","$33,600 "
"$3,070 ",C,2,0.333333333,476,Lease,58120300,Services - Eating and Drinking,"Fast food restaurants, take-out & stands",4,11,"$33,130 ","$173,795 ",83.99,"$5,476 ","$1,651 ",11,3,7,0,,,0.63636364,0.09815621,no,0,,0,0,0,0,13858,13370,193,292,21,1,27,127,6904,6954,5232,2.74,"$122,700 ","$48,729 ",37.6,36.9,38.2,OH,5,"Toledo, OH MSA",Midwest,East North Central,3084,"$20,802 ","$86,857 ","$28,164 "
"$2,420 ",A,3,0.25,654,Lease,52310000,Retail - Hardware & Home Improvement,"Paint, glass & wallpaper",4,5,"$8,887 ","$186,561 ",95.45,$0 ,"$2,070 ",3,2,1,0,,,1,0.03824315,no,0,,0,0,0,0,32482,14058,16645,493,737,3,84,235,14906,17576,16928,2.1,"$63,500 ","$28,517 ",37.4,35.5,39,PA,5,"Pittsburgh, PA MSA",Northeast,Middle Atlantic,10961,"$81,014 ","$351,056 ","$32,028 "
