Sales,CompPrice,Income,Advertising,Population,Price,ShelveLoc,Age,Education,Urban,US
1,138,73,11,276,120,0,42,17,1,1
1,111,48,16,260,83,0,65,10,1,1
1,113,35,10,269,80,1,59,12,1,1
0,117,100,4,466,97,1,55,14,1,1
0,141,64,3,340,128,0,38,13,1,0
1,124,113,13,501,72,0,78,16,0,1
0,115,105,0,45,108,1,71,15,1,0
1,136,81,15,425,120,1,67,10,1,1
0,132,110,0,108,124,1,76,10,0,0
0,132,113,0,131,124,1,76,17,0,1
1,121,78,9,150,100,0,26,10,0,1
1,117,94,4,503,94,0,50,13,1,1
0,122,35,2,393,136,1,62,18,1,0
1,115,28,11,29,86,0,53,18,1,1
1,107,117,11,148,118,1,52,18,1,1
1,149,95,5,400,144,1,76,18,0,0
0,118,32,0,284,110,1,63,13,1,0
1,147,74,13,251,131,1,52,10,1,1
1,110,110,0,408,68,0,46,17,0,1
1,129,76,16,58,121,1,69,12,1,1
0,125,90,2,367,131,1,35,18,1,1
1,134,29,12,239,109,1,62,18,0,1
0,128,46,6,497,138,1,42,13,1,0
0,121,31,0,292,109,1,79,10,1,0
1,145,119,16,294,113,0,42,12,1,1
1,139,32,0,176,82,0,54,11,0,0
1,107,115,11,496,131,1,50,11,0,1
0,98,118,0,19,107,1,64,17,1,0
0,103,74,0,359,97,0,55,11,1,1
0,104,99,15,226,102,0,58,17,1,1
1,125,94,0,447,89,0,30,12,1,0
1,136,58,16,241,131,1,44,18,1,1
0,107,32,12,236,137,1,64,10,0,1
1,114,38,13,317,128,1,50,16,1,1
0,115,54,0,406,128,1,42,17,1,1
1,131,84,11,29,96,1,44,17,0,1
1,122,76,0,270,100,0,60,18,0,0
0,121,41,5,412,110,1,54,10,1,1
0,109,73,0,454,102,1,65,15,1,0
0,130,60,0,144,138,0,38,10,0,0
0,119,98,0,18,126,0,73,17,0,0
0,157,53,0,403,124,0,58,16,1,0
1,77,69,0,25,24,1,50,18,1,0
0,123,42,11,16,134,1,59,13,1,1
0,85,79,6,325,95,1,69,13,1,1
0,141,63,0,168,135,0,44,12,1,1
1,127,90,14,16,70,1,48,15,0,1
0,126,98,0,173,108,0,55,16,1,0
0,116,52,0,349,98,0,69,18,1,0
1,157,93,0,51,149,1,32,17,1,0
0,99,32,18,341,108,0,80,16,1,1
0,121,90,0,150,108,0,75,16,1,0
0,153,40,3,112,129,0,39,18,1,1
0,109,64,13,39,119,1,61,17,1,1
0,134,103,13,25,144,1,76,17,0,1
0,143,81,5,60,154,1,61,18,1,1
1,133,82,0,54,84,1,50,17,1,0
0,93,91,0,22,117,0,75,11,1,0
0,103,93,15,188,103,0,74,16,1,1
0,118,71,4,148,114,1,80,13,1,0
1,122,102,19,469,123,0,29,13,1,1
0,105,32,0,358,107,1,26,13,0,0
