,alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url,long,lat
0,taliza-coffee-santa-fe-springs,"['coffeeroasteries', 'coffee', 'breakfast_brunch']","{'latitude': 33.9029363647326, 'longitude': -118.049799576402}",(213) 330-5229,1737.7002601520292,rs5eKXExQrwSvUJNi0A78g,https://s3-media4.fl.yelpcdn.com/bphoto/LCyCTiMk0o-hCA4C2S7new/o.jpg,False,"{'address1': '13217 Rosecrans Ave', 'address2': None, 'address3': '', 'city': 'Santa Fe Springs', 'zip_code': '90670', 'country': 'US', 'state': 'CA', 'display_address': ['13217 Rosecrans Ave', 'Santa Fe Springs, CA 90670']}",Taliza Coffee,12133305229.0,$,4.5,132,[],https://www.yelp.com/biz/taliza-coffee-santa-fe-springs?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.049799576402,33.9029363647326
1,kape-republik-cerritos,"['desserts', 'cafes', 'coffee']","{'latitude': 33.8739356994629, 'longitude': -118.071418762207}",(562) 865-5000,2029.4287676730105,eDTipq688TIhMTkDMhdaUA,https://s3-media3.fl.yelpcdn.com/bphoto/X7nAJnt7x9totnN0HP-Jqw/o.jpg,False,"{'address1': '17206 Norwalk Blvd', 'address2': None, 'address3': '', 'city': 'Cerritos', 'zip_code': '90703', 'country': 'US', 'state': 'CA', 'display_address': ['17206 Norwalk Blvd', 'Cerritos, CA 90703']}",Kape Republik,15628655000.0,$,4.5,582,"['delivery', 'pickup']",https://www.yelp.com/biz/kape-republik-cerritos?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.071418762207,33.8739356994629
2,7-leaves-cafe-artesia-3,"['coffee', 'macarons']","{'latitude': 33.8727839736181, 'longitude': -118.07289943099}",(562) 278-2572,2258.5459477749337,mAhkHjXLddbmxftSTz_OEw,https://s3-media1.fl.yelpcdn.com/bphoto/L2yyn2leInWYSfBhask-bA/o.jpg,False,"{'address1': '12154 Artesia Blvd', 'address2': '', 'address3': None, 'city': 'Artesia', 'zip_code': '90701', 'country': 'US', 'state': 'CA', 'display_address': ['12154 Artesia Blvd', 'Artesia, CA 90701']}",7 Leaves Cafe,15622782572.0,$,4.0,379,[],https://www.yelp.com/biz/7-leaves-cafe-artesia-3?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.07289943099,33.8727839736181
3,cafe-maji-artesia,"['cafes', 'coffee', 'burgers']","{'latitude': 33.8729251, 'longitude': -118.0716354}",(562) 281-9511,2187.379591738465,YhJ2bXYk-SIxpFfT4RgHUQ,https://s3-media2.fl.yelpcdn.com/bphoto/rmNuVrj0_b4O8WLZKthqQA/o.jpg,False,"{'address1': '12232 E Artesia Blvd', 'address2': 'Ste 8', 'address3': '', 'city': 'Artesia', 'zip_code': '90701', 'country': 'US', 'state': 'CA', 'display_address': ['12232 E Artesia Blvd', 'Ste 8', 'Artesia, CA 90701']}",Cafe Maji,15622819511.0,$,4.0,963,[],https://www.yelp.com/biz/cafe-maji-artesia?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0716354,33.8729251
4,perfected-quality-coffee-service-norwalk,['coffee'],"{'latitude': 33.89087, 'longitude': -118.06323}",(562) 921-7470,546.0430774540407,934ULxIbOV7NcuTjHrkfQw,,False,"{'address1': '15416 Lancelot Ave', 'address2': None, 'address3': None, 'city': 'Norwalk', 'zip_code': '90650', 'country': 'US', 'state': 'CA', 'display_address': ['15416 Lancelot Ave', 'Norwalk, CA 90650']}",Perfected Quality Coffee Service,15629217470.0,,5.0,1,[],https://www.yelp.com/biz/perfected-quality-coffee-service-norwalk?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.06323,33.89087
5,starbucks-norwalk-6,['coffee'],"{'latitude': 33.90269, 'longitude': -118.05496}",(562) 802-3103,1562.9926126984979,nW0lGouIDjt414pww1yaZA,https://s3-media1.fl.yelpcdn.com/bphoto/BuWXCAXLeCXzd6t3-YK6_g/o.jpg,False,"{'address1': '13001 Rosecrans Ave', 'address2': '', 'address3': '', 'city': 'Norwalk', 'zip_code': '90650', 'country': 'US', 'state': 'CA', 'display_address': ['13001 Rosecrans Ave', 'Norwalk, CA 90650']}",Starbucks,15628023103.0,$,2.5,97,[],https://www.yelp.com/biz/starbucks-norwalk-6?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.05496,33.90269
6,paris-baguette-cerritos,"['bakeries', 'coffee', 'cakeshop']","{'latitude': 33.8729001, 'longitude': -118.0462751}",(562) 404-0440,2190.215397400646,TkFJfcwZCwRKIwrG64oETA,https://s3-media1.fl.yelpcdn.com/bphoto/WbgCIXEtL5nXjRyTr3lP5g/o.jpg,False,"{'address1': '17416 Carmenita Rd', 'address2': None, 'address3': '', 'city': 'Cerritos', 'zip_code': '90703', 'country': 'US', 'state': 'CA', 'display_address': ['17416 Carmenita Rd', 'Cerritos, CA 90703']}",Paris Baguette,15624040440.0,$$,4.0,252,[],https://www.yelp.com/biz/paris-baguette-cerritos?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.0462751,33.8729001
7,mcdonalds-norwalk-5,"['burgers', 'hotdogs', 'coffee']","{'latitude': 33.8874462426184, 'longitude': -118.063577413559}",(562) 802-7008,546.5909605621272,u--05o2E7yhwA0_6EczmCA,https://s3-media2.fl.yelpcdn.com/bphoto/Sw-KtbOS1gPw-bf4edYvlg/o.jpg,False,"{'address1': '12602 Alondra Blvd', 'address2': '', 'address3': '', 'city': 'Norwalk', 'zip_code': '90650', 'country': 'US', 'state': 'CA', 'display_address': ['12602 Alondra Blvd', 'Norwalk, CA 90650']}",McDonald's,15628027008.0,$,1.5,162,[],https://www.yelp.com/biz/mcdonalds-norwalk-5?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.063577413559,33.8874462426184
8,starbucks-cerritos-4,['coffee'],"{'latitude': 33.871038, 'longitude': -118.059672}",(562) 865-4247,1984.840270308548,szyKsCgccUkIaVxzpy-3CQ,https://s3-media3.fl.yelpcdn.com/bphoto/AVpDeR5uJOGStGAbGXarqg/o.jpg,False,"{'address1': '12751 Towne Center Drive', 'address2': 'Suite N-3', 'address3': '', 'city': 'Cerritos', 'zip_code': '90703', 'country': 'US', 'state': 'CA', 'display_address': ['12751 Towne Center Drive', 'Suite N-3', 'Cerritos, CA 90703']}",Starbucks,15628654247.0,$,3.0,186,[],https://www.yelp.com/biz/starbucks-cerritos-4?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.059672,33.871038
9,7-eleven-norwalk-10,"['convenience', 'coffee']","{'latitude': 33.9019690797937, 'longitude': -118.059533983469}",(562) 921-3969,1469.146653359229,gjv6yAt3U_52mpxezYS2Uw,https://s3-media4.fl.yelpcdn.com/bphoto/zrvDodrhAEzE_MWO5Rvkew/o.jpg,False,"{'address1': '12800 Rosecrans', 'address2': '', 'address3': None, 'city': 'Norwalk', 'zip_code': '90650', 'country': 'US', 'state': 'CA', 'display_address': ['12800 Rosecrans', 'Norwalk, CA 90650']}",7-Eleven,15629213969.0,$,1.0,19,[],https://www.yelp.com/biz/7-eleven-norwalk-10?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.059533983469,33.9019690797937
