,alias,categories,id,image_url,name,price,rating,review_count,transactions,url,long,lat,geometry,neighbourhood,price_int,chain,store_add1,store_add2,store_add3,store_zip_code
0,taliza-coffee-santa-fe-springs,"['coffeeroasteries', 'coffee', 'breakfast_brunch']",rs5eKXExQrwSvUJNi0A78g,https://s3-media4.fl.yelpcdn.com/bphoto/LCyCTiMk0o-hCA4C2S7new/o.jpg,Taliza Coffee,$,4.5,132,[],https://www.yelp.com/biz/taliza-coffee-santa-fe-springs?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.049799576402,33.9029363647326,POINT (-118.049799576402 33.9029363647326),Santa Fe Springs,1.0,False,13217 Rosecrans Ave,,,90670
1,dapuri-malaysian-white-coffee-santa-fe-springs,['coffee'],b2domRSPAeUIP9lEARAYMQ,https://s3-media1.fl.yelpcdn.com/bphoto/uPbQGLX77Bhb4bnH0p34Rw/o.jpg,Dapuri Malaysian White Coffee,$,5.0,1,[],https://www.yelp.com/biz/dapuri-malaysian-white-coffee-santa-fe-springs?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.03058,33.88565,POINT (-118.03058 33.88565),Santa Fe Springs,1.0,False,14111 Freeway Dr,Ste 300,,90670
2,starbucks-santa-fe-springs-7,['coffee'],g2ldfV2yjU-Yd7r0H-Lh3g,https://s3-media2.fl.yelpcdn.com/bphoto/r6Ct_pNr_NtwkAziPHEbEw/o.jpg,Starbucks,$$,2.5,95,[],https://www.yelp.com/biz/starbucks-santa-fe-springs-7?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.02936799999999,33.887704,POINT (-118.029368 33.887704),Santa Fe Springs,2.0,True,15905 Valley View Avenue,,,90670
3,koupa-cafe-santa-fe-springs,"['greek', 'coffee', 'sandwiches']",p4gvFD_YBgLMUY3cye-qbQ,https://s3-media4.fl.yelpcdn.com/bphoto/Lm6Fy0lb3Sxszquz2RUhtA/o.jpg,Koupa Cafe,$,5.0,42,[],https://www.yelp.com/biz/koupa-cafe-santa-fe-springs?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.02928490000002,33.8997929,POINT (-118.0292849 33.8997929),Santa Fe Springs,1.0,False,14565 Valley View Ave,,,90670
4,the-greenhouse-santa-fe-springs,['coffee'],BimMFJr3R9_t3CKVLxDvwA,,The Greenhouse,,2.0,1,[],https://www.yelp.com/biz/the-greenhouse-santa-fe-springs?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.03253200641001,33.8856984724873,POINT (-118.03253200641 33.8856984724873),Santa Fe Springs,,False,14050 Firestone Blvd,,,90670
5,7-eleven-santa-fe-springs-4,"['convenience', 'coffee']",dGF6QT9OG5e1PmyX_hqvpQ,https://s3-media4.fl.yelpcdn.com/bphoto/x6Wk3CGCFmyorERzpNeVBQ/o.jpg,7-Eleven,$,3.5,11,[],https://www.yelp.com/biz/7-eleven-santa-fe-springs-4?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.029573708773,33.9020948608496,POINT (-118.029573708773 33.9020948608496),Santa Fe Springs,1.0,True,14156 Rosecrans Ave,,,90670
6,mcdonalds-santa-fe-springs,"['hotdogs', 'burgers', 'coffee']",WPBfQB65UzuKrNRrDDTrGA,https://s3-media1.fl.yelpcdn.com/bphoto/itNAhCligneB4M2ls6mzcA/o.jpg,McDonald's,$,2.5,59,[],https://www.yelp.com/biz/mcdonalds-santa-fe-springs?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.02953400000001,33.901678000000004,POINT (-118.029534 33.901678),Santa Fe Springs,1.0,True,14317 Valley View Ave,,,90670
7,starbucks-santa-fe-springs-4,['coffee'],dvGiSZlSLB40GfbbNQt0jg,https://s3-media1.fl.yelpcdn.com/bphoto/Y4Z_Z1OavYAk0VdorXSJ6A/o.jpg,Starbucks,$$,3.0,71,[],https://www.yelp.com/biz/starbucks-santa-fe-springs-4?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.049388,33.916618,POINT (-118.049388 33.916618),Santa Fe Springs,2.0,True,13248 Imperial Highway,,,90670
8,starbucks-santa-fe-springs-11,['coffee'],9mYVXoT-ASlXum5LVlmZkA,https://s3-media1.fl.yelpcdn.com/bphoto/tcwSN-6GTCa5WoyRGUPnBQ/o.jpg,Starbucks,$,2.5,119,[],https://www.yelp.com/biz/starbucks-santa-fe-springs-11?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.04453600000001,33.939356,POINT (-118.044536 33.939356),Santa Fe Springs,1.0,True,13473 Telegraph Road,Suite A,,90605
9,tierra-mia-coffee-santa-fe-springs,"['coffee', 'latin']",wmkgugyOinZ76Xc9_UEI1w,https://s3-media2.fl.yelpcdn.com/bphoto/r-igJhugIKy15y2RDux9_Q/o.jpg,Tierra Mia Coffee,$,3.5,73,[],https://www.yelp.com/biz/tierra-mia-coffee-santa-fe-springs?adjust_creative=zaKvC1dg_yODFNgXgAMiOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zaKvC1dg_yODFNgXgAMiOw,-118.083935314935,33.9451464012636,POINT (-118.083935314935 33.9451464012636),Santa Fe Springs,1.0,True,11700 Telegraph Rd,,Santa Fe Springs Library,90670
